Scenario,ClusterID,MainDC_X_km,MainDC_Y_km,State
Cluster_K2,1,14583.446208134788,-3312.680505870277,Queensland
Cluster_K3,1,14583.446208134788,-3312.680505870277,Queensland
Cluster_K4,1,14583.446208134788,-3312.680505870277,Queensland
Cluster_K5,1,14583.446208134788,-3312.680505870277,Queensland
